7800399987794396343,14958639457611329800,7217616216018955095,2541639845199783385,8757823196683476917,2070917316018628822
7800399987794396343,14958639457611329800,7217616216018955095,2541639845199783385,591692299801934236,17700212231170203659
7800399987794396343,14958639457611329800,6842667329346191895,13572720571117383004,12734670242858176095,7481730555271167348
7800399987794396343,18432374808251855326,12436724118256268458,4323475709324158213,12104521291544743267,4255702964688507932
7800399987794396343,18432374808251855326,11311877458237978858,11845314932561019439,14703484998911352564,6084474920685230922
7800399987794396343,14958639457611329800,6842667329346191895,10504209803312054553,12192808522516865017,6534732952767948762
7800399987794396343,14958639457611329800,6842667329346191895,12469741946378692842,8294539342788637690,13978386473964944980
7800399987794396343,14958639457611329800,6842667329346191895,12469741946378692842,5190432951195080425,9147285733512560911
7800399987794396343,18432374808251855326,11311877458237978858,3917210310513598241,13466828618005931537,5421913031093484473
7800399987794396343,18432374808251855326,12436724118256268458,4323475709324158213,17146745903769075366,13160385956760871976
7800399987794396343,14958639457611329800,6842667329346191895,10011728924266712130,5702084495699710300,17652594795697423394
7800399987794396343,14958639457611329800,12782102490592265573,8820428213155290994,8060400270217063099,18074655330973851305
7800399987794396343,16854509351071732294,4277042107727734029,14627176561209390685,6134943302667982481,13800987957329187208
7800399987794396343,14958639457611329800,8595952579335812077,5678501951932951814,2309955197771542215,6606831529192586738
10335344282077925378,12084328153930285366,5968030137316878735,382560657032393482,12294881573287226131,8657270268696790794
3146298071213139463,215750545026008657,18267972311123472061,14966644003936433163,10163237563018407799,3136694824572290816
3146298071213139463,215750545026008657,18267972311123472061,14966644003936433163,10163237563018407799,3136694824572290816
