4672719298445610840,104331548158351189,8230694028412356878,16831126368593134984,18200926810603308761,0
4672719298445610840,104331548158351189,8230694028412356878,16831126368593134984,3593620480067097128,0
4672719298445610840,104331548158351189,4561547417895707328,11045564602155156831,12837674462738962128,0
4672719298445610840,17122267169138006958,7014560859719142762,11609838771259042875,10704136303909651324,0
4672719298445610840,17122267169138006958,17519255473294076047,15831097624475569316,6717479773284169195,0
4672719298445610840,104331548158351189,4561547417895707328,13817956582475261180,9169107888714589102,0
4672719298445610840,104331548158351189,4561547417895707328,3652448594911701038,12964072537506371374,0
4672719298445610840,104331548158351189,4561547417895707328,3652448594911701038,9313019166069259898,0
4672719298445610840,17122267169138006958,17519255473294076047,11839062140562228278,8053228044962598689,0
4672719298445610840,17122267169138006958,7014560859719142762,11609838771259042875,4093393102881334055,0
4672719298445610840,104331548158351189,4561547417895707328,7375340527021898064,9390752245732022396,0
4672719298445610840,104331548158351189,4157352929092261135,15517438097389236269,1297053811409251732,0
4672719298445610840,6969800259045387400,15453451858162148452,10555597475083329528,5597680787643721659,0
4672719298445610840,104331548158351189,7266072477156283190,8740782688103370977,2827605564992447852,0
8548474081569842979,15098969357265915439,16545021164473792145,12698734848438971390,6331214930511238711,0
9656690736493522675,17405133578074280500,175200834256161812,15454892334046250483,18283314955183639451,0
9656690736493522675,17405133578074280500,175200834256161812,15454892334046250483,18283314955183639451,0
